date,open,close,high,low,volume,code,pct_change,上游,债务,股东,投资,并购,同行,概念,集团,高管,诉讼,下游,产品,上游上游,债务债务,股东同行,股东下游,股东股东,投资投资,投资债务,并购并购,同行债务,概念下游,概念债务,概念同行,概念概念,集团集团,集团股东,集团同行,高管高管,诉讼诉讼,诉讼高管,上游同行,下游下游,股东集团,投资下游,同行同行,同行概念,同行产品,同行下游,同行上游,同行集团,产品同行,产品概念,产品产品,产品下游,产品股东,产品债务,概念产品,概念集团,概念上游,概念股东,概念并购,下游债务,下游诉讼,下游同行,债务投资,债务集团,债务并购,投资集团,投资并购,并购投资,并购债务,并购集团,同行股东,概念诉讼,集团债务,集团投资,集团并购,下游并购,债务股东,股东债务,概念投资,上游债务,上游下游,债务下游,集团上游,股东诉讼,并购股东,同行诉讼,诉讼股东,诉讼债务,诉讼下游,诉讼同行,下游上游,债务同行,并购同行,高管诉讼,下游概念,债务诉讼,投资诉讼,并购诉讼,债务概念,投资上游,同行并购,高管债务,产品上游,债务上游,高管下游,诉讼概念,股东上游,股东并购,并购上游,产品集团,上游投资,下游集团,股东概念,股东产品,并购下游,上游集团,股东投资,集团诉讼,集团概念,上游并购,下游投资,债务产品,上游股东,下游股东,上游诉讼,诉讼上游,集团下游,上游概念,债务高管,同行投资,投资股东,下游产品,并购概念,产品并购,诉讼集团,诉讼并购,下游高管,并购产品,投资同行,上游产品,诉讼投资,产品诉讼,投资概念,集团产品,RSV,K,D,J,EMA12,EMA26,DIF,DEA,MACD,OBA,RSI,PSY,AR,BR,CR,BIAS_6,BIAS_12,BIAS_24,CCI,WR,M_TRIX,target
2012/1/6,5.181,5.101,5.181,5.028,525141,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.7124183,49.23747277,49.74582426,48.22076979,5.101,5.101,0,0,0,-24026.05882,,,0,1.095890411,,4.953316475,10.90663295,22.8132659,-933.7931058,52.2875817,,0.028033719
2012/1/9,5.105,5.244,5.254,5.068,221138,1,0.028033719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.62365591,64.36620048,54.619283,83.86003545,5.123,5.111592593,0.011407407,0.002281481,0.018251852,197359.7204,,1,78.42105263,2.198113208,435.2517986,2.050167224,5.100334448,11.2006689,-449.3851206,4.424778761,1.518493106,0.06331045
2012/1/20,5.56,5.576,5.63,5.424,586675,1,0.06331045,0,0,0.255661613,0,0,0.572756314,3.62752012,0.085220538,0,0,0,0,0.048514537,0,0.304995806,0.047569153,0.116887204,0,0.137840499,0,0.995797379,0.06703191,0.098812553,0.304995806,0.032567758,0.085220538,0.08669339,0.304995806,0,0,-0.010590976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.78640777,67.50626958,58.91494519,84.68891835,5.192692308,5.145993141,0.046699166,0.011165018,0.071068296,279097.8155,,2,67.17791411,-8.364864865,0,1.106336765,3.212673529,7.425347058,-300.6014238,8.970099668,2.257381657,0.012553802
2012/2/3,5.586,5.646,5.663,5.46,1165998,1,0.012553802,0,0,0.080540385,0,0,0.109330631,0.480334901,0.026846795,0,0,0,0,0.09825641,0,-0.000319016,0.00320064,0.052425686,0,0.237931034,0,0.958010813,0.036417329,-0.008683906,-0.000319016,0.118771998,0.026846795,0.002732987,-0.000319016,0,0,0.11325198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.62561576,75.54605164,64.45864734,97.72086024,5.262431953,5.183030686,0.079401266,0.024812268,0.109177997,970707.6946,,3,65.48672566,16.80952381,0,0.57566455,2.151329101,5.302658201,-212.4829766,2.677165354,2.121178687,-0.00460503
2012/2/10,5.65,5.62,5.656,5.497,634284,1,-0.00460503,0,0,-0.004366812,0,0,-0.097060282,0.574181004,-0.001455604,0,0,0,0,0.206111606,0,-0.013799256,0.022532403,0.018759676,0,0.037878788,0,1.27128618,0.068568358,0.03640257,-0.013799256,0.094884988,-0.001455604,0.058124754,-0.013799256,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.35849057,76.15019795,68.35583088,91.73893209,5.317442421,5.215398784,0.102043638,0.040258542,0.123570192,347061.0566,105.0096339,3,49.91735537,3.748691099,6456.521739,0.24269841,1.48539682,3.970793639,-158.6744626,6.771653543,1.825675815,-0.027224199
2012/2/17,5.58,5.467,5.586,5.437,949299,1,-0.027224199,0,0,-0.02556627,0,0,-0.150350621,-0.687655174,-0.00852209,0,0,0,0,0.158247536,0,0.096318579,-0.020475819,0.011035295,0,-0.021344835,0,1.476135874,0.001756323,0.009015778,0.096318579,0.040820362,-0.00852209,0.052169965,0.096318579,0,0,-0.014652015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.13422819,57.47820803,64.72995659,42.9747109,5.34045128,5.234035911,0.106415369,0.053489907,0.105850923,-567030.9463,148.9071038,3,41.17647059,1.823529412,422.7206946,0.004409333,1.008818666,3.017637332,-120.0590173,30.86614173,1.446140669,0.025425279
2012/2/24,5.563,5.606,5.606,5.43,1282237,1,0.025425279,0,0,0.145724949,0,0,0.26334877,3.729797443,0.048574983,0,0,0,0,0.487181686,0,0.175775608,0.104718296,0.096530561,0,0.11318408,0,2.418899774,0.091757389,0.121556217,0.175775608,0.286585562,0.048574983,0.103661424,0.175775608,0,0,0.042565056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,71.65213869,67.03735062,80.88171481,5.381304929,5.261588806,0.119716123,0.06673515,0.105961944,1282237,135.4455446,4,39.84108967,1.99756691,365.0862069,0.016147305,0.759090018,2.518180035,-95.61971951,8.976377953,1.29111897,0.036211202
2012/3/2,5.616,5.809,5.816,5.57,1753376,1,0.036211202,0,0,-0.030901149,0,0,0.1236874,0.594339472,-0.010300383,0,0,0,0,0.017755413,0,-0.064054318,0.003063615,-0.010300383,0,0.066342353,0,0.57959067,0.026324449,-0.015435685,-0.064054318,-0.033900742,-0.010300383,0.054849113,-0.064054318,0,0,-0.046175789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.15447154,80.15291631,71.40920585,97.64033721,5.447104171,5.302137784,0.144966387,0.082381398,0.125169979,1653590.374,125.2824859,5,59.4390507,2.306487696,491.5178571,0.03610339,0.585894665,2.17178933,-80.03259623,0.888324873,1.269835932,-0.034945774
2012/3/9,5.826,5.606,5.909,5.537,1702480,1,-0.034945774,0,0,-0.085821709,0,0,-0.503462447,-1.423458828,-0.028607236,0,0,0,0,-0.107472564,0,-0.11425339,-0.023356091,0.145766559,0,-0.00957265,0,0.361507614,0.04520342,-0.020229265,-0.11425339,-0.003445383,-0.028607236,0.039805959,-0.11425339,0,0,0.057757009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.5483871,59.61807324,67.47882831,43.89656308,5.471549683,5.324646096,0.146903587,0.095285836,0.103235503,-1070914.839,175.6435644,5,52.13815789,1.573018081,287.4429224,-0.004483907,0.354351634,1.708703268,-61.9245525,34.39273553,1.126878255,-0.027827328
2012/3/16,5.61,5.45,5.663,5.37,1374054,1,-0.027827328,0,0,-0.039715039,0,0,-0.195558027,-1.782291254,-0.013238346,0,0,0,0,-0.052023485,0,-0.07928476,-0.055187638,0.449641063,0,-0.122021411,0,-0.584902142,0.026211329,0,-0.07928476,0.001403479,-0.013238346,-0.075673467,-0.07928476,0,0,-0.10584909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.30375427,48.84663358,61.26809673,24.00370727,5.468234347,5.33393157,0.134302777,0.103089224,0.062427106,-623717.3447,254.1547278,5,47.18406593,1.243979058,171.6723549,-0.029716778,0.184761146,1.369522291,-43.11284237,52.09988649,0.953536745,-0.023669725
